variant,mIoU,delta_mIoU,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
phrd_s4_region_entropy_score_low_thr0p9_a0p25,0.7788796563549841,7.292478022280502e-05,0.6817083307905177,-0.00013757063462549457,0.40678275538483427,-0.0008078834587188499,0.44046046605798245,0.002641702258944667
phrd_s4_mean_top_gap_low_thr0p9_a0p1,0.7788793570763837,7.26255016223476e-05,0.6818437008561516,-2.200568991583829e-06,0.4073028585599975,-0.00028778028355563867,0.43884555683034293,0.001026793031305151
phrd_s8_region_entropy_score_low_thr0p6_a0p1,0.778878557098535,7.182552377371643e-05,0.6819722667854785,0.0001263653603352788,0.4076847125519642,9.407370841107987e-05,0.43785732879551875,3.8564996480972e-05
phrd_s4_mean_top_gap_low_thr0p95_a0p1,0.7788769263386464,7.01947638850342e-05,0.6818409064650389,-4.994960104309776e-06,0.40729191740154763,-0.00029872144200548956,0.4388600187040233,0.0010412549049855224
phrd_s4_mean_conf_low_thr0p8_a0p5,0.7788716367191295,6.490514436818806e-05,0.681643694168046,-0.00020220725709718668,0.40713493976785087,-0.0004556990757022539,0.44125104848584185,0.0034322846868040657
phrd_s4_region_conf_low_thr0p6_a0p1,0.778869892497032,6.316092227065528e-05,0.6819393216686487,9.342024350544875e-05,0.40767784530628287,8.720646272974975e-05,0.4377898400516771,-2.892374736068737e-05
phrd_s4_mean_conf_low_thr0p6_a0p1,0.7788688277629486,6.209618818731055e-05,0.6819383182996176,9.241687447436586e-05,0.4077235861224667,0.0001329472789135533,0.4377753781779967,-4.338562104105881e-05
phrd_s4_pred_agreement_low_thr0p95_a0p1,0.7788677987603057,6.106718554432788e-05,0.6818336701760869,-1.2231249056360305e-05,0.4073302820882185,-0.0002603567553346453,0.4387828887110614,0.0009641249120236339
phrd_s8_region_entropy_score_low_thr0p6_a0p75,0.7788579248139278,5.119323916646934e-05,0.6822267126649477,0.0003808112398044905,0.4077600189535454,0.0001693801099922898,0.43825744063400857,0.0004386768349707859
phrd_s4_region_entropy_score_low_thr0p6_a0p1,0.7788425343815798,3.5802806818474586e-05,0.6818920806004716,4.617917532834248e-05,0.40763774277813586,4.710393458273732e-05,0.43782840504815806,9.641249120284634e-06
phrd_s4_pred_agreement_low_thr0p9_a0p1,0.7788414751049377,3.474353017640652e-05,0.681815994845911,-2.9906579232186203e-05,0.40738066849706644,-0.00020997034648667645,0.4385852431040966,0.0007664793050587981
phrd_s4_region_entropy_score_low_thr0p6_a1p0,0.7788413982035507,3.4666628789370435e-05,0.6819296319163284,8.373049118515219e-05,0.40773185921005145,0.00014122036649832914,0.43812728377088533,0.000308519971847554
phrd_s8_pred_agreement_low_thr0p95_a0p1,0.7788303430003165,2.3611425555181142e-05,0.6817669564841378,-7.894494100546545e-05,0.4076654288137078,7.478997015469835e-05,0.4398048611178064,0.0019860973187686426
phrd_s4_region_conf_low_thr0p95_a0p25,0.7788058938782162,-8.376965451306617e-07,0.6815885498108838,-0.00025735161425943787,0.4065756706030131,-0.0010149682405400373,0.44076898602983,0.002950222230792221
phrd_s4_pred_agreement_low_thr0p6_a0p1,0.778801946716104,-4.784858657291835e-06,0.6818271231787805,-1.8778246362760598e-05,0.40756974579266253,-2.0893050890591347e-05,0.43786214942007884,4.338562104105881e-05
phrd_s4_mean_top_gap_low_thr0p8_a0p25,0.7787963243366799,-1.0407238081433512e-05,0.6815489745840101,-0.0002969268411331383,0.4065179601793825,-0.001072678664170601,0.44088950164383295,0.0030707378447951683
phrd_s4_pred_agreement_low_thr0p8_a0p1,0.7787952066927717,-1.1524881989632974e-05,0.6817833723911652,-6.252903397807597e-05,0.4074373778905314,-0.0001532609530217055,0.4382960056304895,0.0004772418314517024
phrd_s4_region_conf_low_thr0p8_a0p5,0.7787951785984222,-1.1552976339146426e-05,0.6817386039737371,-0.00010729745140614089,0.407307058053523,-0.0002835807900301024,0.4407641654052699,0.002945401606232134
phrd_s4_pred_agreement_low_thr0p6_a0p25,0.7787927137940367,-1.4017780724628892e-05,0.6817895749066432,-5.632651850007164e-05,0.40764514623975723,5.4507396204106495e-05,0.4380164094060026,0.0001976456069648358
phrd_s8_region_conf_low_thr0p8_a0p5,0.7787917679952764,-1.4963579484938982e-05,0.6819287370109308,8.283558578758843e-05,0.40830416822580745,0.0007135293822543298,0.4414101290963257,0.0035913652972879295
phrd_s4_region_entropy_score_low_thr0p8_a0p5,0.7787906062002188,-1.6125374542541593e-05,0.6817495703497557,-9.63310753875346e-05,0.40764571048369685,5.507164014373345e-05,0.4402531792018974,0.002434415402859602
phrd_s4_pred_agreement_low_thr0p7_a0p1,0.7787901068298386,-1.662474492269972e-05,0.68182645331437,-1.944811077325692e-05,0.40767170217030796,8.106332675483774e-05,0.43788625254287944,6.748874384165937e-05
phrd_s4_mean_conf_low_thr0p9_a0p25,0.7787864155749002,-2.0315999861075795e-05,0.6815170234950916,-0.000328877930051652,0.40649444553999853,-0.0010961933035545934,0.44090878414207346,0.003090020343035682
phrd_s8_pred_agreement_low_thr0p6_a0p1,0.7787730898211247,-3.364175363662625e-05,0.6818126344578873,-3.326696725591827e-05,0.40771557693709437,0.00012493809354124918,0.4379537412867211,0.00013497748768331874
