scene,region_size,expert,desired_B_points,danger_A_points,desired_in_defer_region,danger_in_defer_region,defer_point_frac
scene0609_02,16,PTv3_supervised,313,1001,243,49,0.04946388676762581
scene0700_00,4,Concerto decoder,4420,6498,4133,131,0.06277768313884735
scene0700_00,4,Sonata linear,11091,7173,10639,286,0.10943969339132309
scene0700_00,4,Utonia,9532,6695,9172,198,0.09918557852506638
scene0700_00,4,PTv3_supervised,6522,6822,6362,133,0.07849010825157166
scene0700_00,8,Concerto decoder,4420,6498,3993,194,0.11216164380311966
scene0700_00,8,Sonata linear,11091,7173,10431,496,0.145761176943779
scene0700_00,8,Utonia,9532,6695,9066,364,0.13421808183193207
scene0700_00,8,PTv3_supervised,6522,6822,6310,171,0.12230055034160614
scene0700_00,16,Concerto decoder,4420,6498,3542,257,0.17156930267810822
scene0700_00,16,Sonata linear,11091,7173,10309,783,0.21006545424461365
scene0700_00,16,Utonia,9532,6695,8840,430,0.1796775460243225
scene0700_00,16,PTv3_supervised,6522,6822,6225,226,0.1997753381729126
scene0406_00,4,Concerto decoder,276,466,191,25,0.02681410126388073
scene0406_00,4,Sonata linear,285,1022,158,20,0.021741162985563278
scene0406_00,4,Utonia,243,1117,132,19,0.02113334648311138
scene0406_00,4,PTv3_supervised,293,333,202,32,0.032611746340990067
scene0406_00,8,Concerto decoder,276,466,188,45,0.05846736580133438
scene0406_00,8,Sonata linear,285,1022,143,26,0.040560126304626465
scene0406_00,8,Utonia,243,1117,116,30,0.04317841678857803
scene0406_00,8,PTv3_supervised,293,333,204,48,0.06739760935306549
scene0406_00,16,Concerto decoder,276,466,166,52,0.12862353026866913
scene0406_00,16,Sonata linear,285,1022,132,41,0.10330559313297272
scene0406_00,16,Utonia,243,1117,91,39,0.08280344307422638
scene0406_00,16,PTv3_supervised,293,333,208,84,0.17413970828056335
scene0351_01,4,Concerto decoder,1932,1025,1784,60,0.02943265065550804
scene0351_01,4,Sonata linear,1675,3140,1564,65,0.021793536841869354
scene0351_01,4,Utonia,1968,2025,1872,83,0.029929054901003838
scene0351_01,4,PTv3_supervised,1801,1733,1676,88,0.028694938868284225
scene0351_01,8,Concerto decoder,1932,1025,1724,69,0.0525430403649807
scene0351_01,8,Sonata linear,1675,3140,1463,67,0.03685114160180092
scene0351_01,8,Utonia,1968,2025,1794,102,0.04389732703566551
scene0351_01,8,PTv3_supervised,1801,1733,1628,113,0.04627593234181404
scene0351_01,16,Concerto decoder,1932,1025,1687,183,0.09343436360359192
scene0351_01,16,Sonata linear,1675,3140,1309,89,0.06427749246358871
scene0351_01,16,Utonia,1968,2025,1522,116,0.06641478836536407
scene0351_01,16,PTv3_supervised,1801,1733,1562,91,0.09195894002914429
scene0164_03,4,Concerto decoder,1934,1796,1750,58,0.05368809774518013
scene0164_03,4,Sonata linear,1373,3297,1131,43,0.03694410249590874
scene0164_03,4,Utonia,2108,2794,1889,61,0.050516050308942795
scene0164_03,4,PTv3_supervised,1633,5799,1488,54,0.05733358487486839
scene0164_03,8,Concerto decoder,1934,1796,1706,84,0.08515607565641403
scene0164_03,8,Sonata linear,1373,3297,1029,38,0.05936937779188156
scene0164_03,8,Utonia,2108,2794,1797,86,0.07172616571187973
scene0164_03,8,PTv3_supervised,1633,5799,1473,84,0.10450398921966553
scene0164_03,16,Concerto decoder,1934,1796,1712,194,0.15290534496307373
scene0164_03,16,Sonata linear,1373,3297,988,122,0.09236814826726913
scene0164_03,16,Utonia,2108,2794,1695,96,0.1004166305065155
scene0164_03,16,PTv3_supervised,1633,5799,1460,128,0.20533093810081482
scene0423_01,4,Concerto decoder,52,15,45,2,0.004193746019154787
scene0423_01,4,Sonata linear,28,115,11,4,0.0015695892507210374
scene0423_01,4,Utonia,40,79,31,9,0.003899448085576296
scene0423_01,4,PTv3_supervised,58,9,55,6,0.00527283875271678
scene0423_01,8,Concerto decoder,52,15,51,14,0.01285101193934679
scene0423_01,8,Sonata linear,28,115,10,4,0.002648681867867708
scene0423_01,8,Utonia,40,79,31,9,0.009760882705450058
scene0423_01,8,PTv3_supervised,58,9,58,9,0.01439607609063387
scene0423_01,16,Concerto decoder,52,15,52,15,0.03722869232296944
scene0423_01,16,Sonata linear,28,115,0,0,0.0
scene0423_01,16,Utonia,40,79,22,7,0.018786020576953888
