variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
knn_adapt_k50_tau0p1_lam0p05,0.70933786,-0.00016776,0.82267022,0.88970614,0.60472473,-0.00019003,0.36168353,-0.00018983,0.47374688,-0.00217892,0.62852166,0.60434999,0.64861408,0.61105388,0.65069672,0.72815322
knn_adapt_k5_tau0p05_lam0p05,0.70933522,-0.00017040,0.82268687,0.88970731,0.60472067,-0.00019408,0.36168323,-0.00019014,0.47375652,-0.00216928,0.62851377,0.60431451,0.64866965,0.61105620,0.65070421,0.72810314
knn_adapt_k5_tau0p1_lam0p05,0.70933469,-0.00017093,0.82268654,0.88970700,0.60471922,-0.00019553,0.36168193,-0.00019144,0.47375652,-0.00216928,0.62851014,0.60431296,0.64866965,0.61105287,0.65070388,0.72810314
knn_adapt_k50_tau0p05_lam0p05,0.70933330,-0.00017231,0.82267111,0.88970561,0.60471870,-0.00019606,0.36168223,-0.00019113,0.47374688,-0.00217892,0.62850026,0.60436553,0.64858302,0.61105833,0.65069247,0.72814904
knn_adapt_k20_tau0p1_lam0p05,0.70932699,-0.00017862,0.82267671,0.88970488,0.60471856,-0.00019619,0.36168422,-0.00018914,0.47374688,-0.00217892,0.62846567,0.60440344,0.64861299,0.61104558,0.65070711,0.72811094
knn_adapt_k10_tau0p05_lam0p05,0.70932577,-0.00017985,0.82267948,0.88970583,0.60471978,-0.00019497,0.36168063,-0.00019274,0.47374688,-0.00217892,0.62848208,0.60436289,0.64862524,0.61106101,0.65070627,0.72812036
knn_adapt_k10_tau0p1_lam0p05,0.70932427,-0.00018134,0.82267867,0.88970547,0.60471622,-0.00019854,0.36168063,-0.00019274,0.47374688,-0.00217892,0.62847751,0.60435541,0.64861715,0.61105950,0.65070714,0.72811618
knn_adapt_k20_tau0p05_lam0p05,0.70932419,-0.00018143,0.82267423,0.88970514,0.60471259,-0.00020217,0.36168422,-0.00018914,0.47374688,-0.00217892,0.62844791,0.60440108,0.64859964,0.61104280,0.65070569,0.72810677
multiproto8_adapt_tau0p2_lam0p4,0.70931892,-0.00018669,0.82272412,0.88970410,0.60480245,-0.00011230,0.36176105,-0.00011232,0.47308645,-0.00283935,0.62874776,0.60447773,0.64878803,0.61119010,0.65064221,0.72801028
proto_tau0p2_lam0p2,0.70930974,-0.00019588,0.82270953,0.88968473,0.60477128,-0.00014347,0.36192647,0.00005310,0.47236818,-0.00355762,0.62855159,0.60476981,0.64845930,0.61119370,0.65061086,0.72788725
multiproto4_adapt_tau0p2_lam0p4,0.70930556,-0.00020005,0.82268802,0.88970182,0.60481125,-0.00010350,0.36180966,-0.00006371,0.47299004,-0.00293576,0.62860956,0.60456319,0.64857622,0.61133949,0.65065782,0.72812281
multiproto8_tau0p2_lam0p2,0.70928542,-0.00022019,0.82307505,0.88963496,0.60478389,-0.00013087,0.36181517,-0.00005819,0.47043993,-0.00548587,0.62904972,0.60436170,0.64874532,0.61080854,0.65057719,0.72812955
proto_adapt_tau0p1_lam0p2,0.70928440,-0.00022121,0.82260146,0.88970410,0.60472010,-0.00019465,0.36178247,-0.00009090,0.47323589,-0.00268991,0.62841663,0.60463065,0.64837734,0.61128845,0.65060103,0.72794413
proto_adapt_tau0p05_lam0p1,0.70926232,-0.00024330,0.82271500,0.88968627,0.60469617,-0.00021858,0.36182541,-0.00004796,0.47269116,-0.00323464,0.62869826,0.60449255,0.64817509,0.61121726,0.65052845,0.72793620
multiproto4_tau0p2_lam0p2,0.70925841,-0.00024721,0.82302372,0.88962902,0.60479309,-0.00012167,0.36199171,0.00011834,0.47023746,-0.00568834,0.62894954,0.60445612,0.64854369,0.61086252,0.65055293,0.72819510
