pair,positive_class,negative_class,feature,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
sink_vs_cabinet,sink,cabinet,patch_proj,unweighted,0.4994850754737854,0.0004892243552810021,0.4984551966190338,0.5,0.8262468576431274,0.07053983637416793,0.6688594326376915,0.9117294177412987,0.0,0.9989701509475708,0.9847715497016907,19,3043,14,971,3062,
sink_vs_cabinet,sink,cabinet,patch_proj,balanced,0.5093791335821152,0.058587451156256326,0.3940359719097614,0.6139988251030445,0.46182137727737427,0.05096009630906257,0.38864021375775337,0.5627059698104858,0.6428571343421936,0.37590113282203674,0.37969544529914856,19,3043,14,971,38,
sink_vs_cabinet,sink,cabinet,patch_proj,weighted,0.5896351262927055,0.060595342864674405,0.47913234010338784,0.6994556531310081,0.8286008238792419,0.06225045008428657,0.6882705494761467,0.9320784896612168,0.2142857164144516,0.9649845361709595,0.9543147087097168,19,3043,14,971,3062,160.1578947368421
door_vs_wall,door,wall,dino_exact,unweighted,0.48494639061391354,0.0034859521707740954,0.4782464538235217,0.49165623928420243,0.4583369493484497,0.010134966922924921,0.4389903202652931,0.47878591269254683,0.050976138561964035,0.918916642665863,0.8569880723953247,984,12000,922,12000,12984,
door_vs_wall,door,wall,dino_exact,balanced,0.49088630080223083,0.008826160373824103,0.4774322610348463,0.5089559968560934,0.49788033962249756,0.009926413742194473,0.4801782988011837,0.5177074581384659,0.44793927669525146,0.5338333249092102,0.5277047157287598,984,12000,922,12000,1968,
door_vs_wall,door,wall,dino_exact,weighted,0.4652513600885868,0.004491636205398643,0.4556600878480822,0.4732279608026147,0.4596479535102844,0.008653888234408675,0.44476587176322935,0.47628907188773156,0.07375270873308182,0.8567500114440918,0.8008822202682495,984,12000,922,12000,12984,12.195121951219512
door_vs_wall,door,wall,encoder_pooled,unweighted,0.49929122626781464,0.005106978274990702,0.488020581100136,0.5074516689404845,0.5632584095001221,0.008297459026520607,0.5459270134568215,0.5779948517680168,0.14208242297172546,0.8565000295639038,0.8055254817008972,984,12000,922,12000,12984,
door_vs_wall,door,wall,encoder_pooled,balanced,0.5054973810911179,0.008663384954482885,0.48897037245333197,0.5216386400163173,0.5163554549217224,0.009818379582319394,0.4985648974776268,0.5329765364527702,0.4240780770778656,0.5869166851043701,0.5752979516983032,984,12000,922,12000,1968,
door_vs_wall,door,wall,encoder_pooled,weighted,0.4949345737695694,0.0069008666211987585,0.4828011516481638,0.5079431857913732,0.5575109124183655,0.009328411113834622,0.5402492746710778,0.5745645895600319,0.1735357940196991,0.8163333535194397,0.7704689502716064,984,12000,922,12000,12984,12.195121951219512
door_vs_wall,door,wall,patch_proj,unweighted,0.5038492307066917,0.004731252764676222,0.4947330132126808,0.5126400482840836,0.5635457634925842,0.009456272952767781,0.5443797886371613,0.580906929075718,0.09869848191738129,0.9089999794960022,0.8511840105056763,984,12000,922,12000,12984,
