variant,mIoU,delta_mIoU,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
phrd_s4_pred_agreement_thr0p9_a1p0,0.409307400658498,0.0002554400322163919,0.2903179216263086,0.0005867015445936707,0.6336134453781157,0.005042016806722338,0.02538370720188902,-0.0005903187721369545
phrd_s8_mean_top_gap_thr0p6_a0p1,0.4092860653183254,0.00023410469204376838,0.2899003821945314,0.00016916211281647886,0.6327905670971009,0.004219138525707544,0.026564344746162927,0.000590318772136951
phrd_s4_pred_agreement_thr0p9_a0p5,0.40927644965307797,0.0002244890267963373,0.2901711767300275,0.0004399566483125894,0.6324929971988441,0.003921568627450744,0.02538370720188902,-0.0005903187721369545
phrd_s4_pred_agreement_thr0p9_a0p75,0.4092763022106688,0.00022434158438716656,0.2902316502228682,0.0005004301411532519,0.63305322128848,0.004481792717086597,0.02538370720188902,-0.0005903187721369545
phrd_s4_pred_agreement_thr0p6_a0p1,0.4092758290675616,0.00022386844127997296,0.29041762387579445,0.0006864037940795265,0.6348850252383267,0.006313596666933319,0.02538370720188902,-0.0005903187721369545
phrd_s4_pred_agreement_thr0p7_a0p5,0.4092715399986126,0.00021957937233096914,0.29100362781157724,0.0012724077298623127,0.6413407821228692,0.012769353551475793,0.023022432113341203,-0.0029515938606847723
phrd_s8_mean_top_gap_thr0p6_a0p25,0.40926662910263206,0.0002146684763504325,0.28968840569354437,-4.2814388170553386e-05,0.6358024691357668,0.007231040564373403,0.024793388429752067,-0.001180637544273909
phrd_s4_region_conf_thr0p8_a0p25,0.40925910120595954,0.00020714057967791133,0.29034264988938563,0.0006114298076707048,0.6341736694677516,0.0056022408963581904,0.024793388429752067,-0.001180637544273909
phrd_s8_region_conf_thr0p9_a0p1,0.40924921505242706,0.00019725442614543232,0.28961887630608996,-0.00011234377562496789,0.6312535132096329,0.0026820846382394903,0.025974025974025976,0.0
phrd_s4_region_conf_thr0p6_a0p1,0.40924314621071006,0.0001911855844284327,0.2903944876136447,0.0006632675319298009,0.6345291479820272,0.005957719410633833,0.02538370720188902,-0.0005903187721369545
