scene,region_size,expert,desired_B_points,danger_A_points,desired_in_defer_region,danger_in_defer_region,defer_point_frac
scene0616_00,4,Concerto decoder,4387,4369,4102,153,0.04427555948495865
scene0616_00,4,Sonata linear,6438,8379,6038,233,0.04822249710559845
scene0616_00,4,Utonia,4626,8352,4212,190,0.03889504075050354
scene0616_00,4,PTv3_supervised,5849,3321,5622,219,0.0533594936132431
scene0616_00,8,Concerto decoder,4387,4369,4030,246,0.07920987904071808
scene0616_00,8,Sonata linear,6438,8379,5894,303,0.06877047568559647
scene0616_00,8,Utonia,4626,8352,4018,303,0.0626639798283577
scene0616_00,8,PTv3_supervised,5849,3321,5538,327,0.09969811886548996
scene0616_00,16,Concerto decoder,4387,4369,3862,356,0.13929156959056854
scene0616_00,16,Sonata linear,6438,8379,5582,454,0.11384553462266922
scene0616_00,16,Utonia,4626,8352,3780,440,0.09435895830392838
scene0616_00,16,PTv3_supervised,5849,3321,5154,301,0.16124555468559265
scene0086_02,4,Concerto decoder,925,903,851,87,0.033931318670511246
scene0086_02,4,Sonata linear,1016,7543,858,84,0.027354270219802856
scene0086_02,4,Utonia,1221,1859,1047,132,0.03238024190068245
scene0086_02,4,PTv3_supervised,1129,1372,1010,110,0.03738216683268547
scene0086_02,8,Concerto decoder,925,903,809,107,0.05722152814269066
scene0086_02,8,Sonata linear,1016,7543,802,93,0.04498124122619629
scene0086_02,8,Utonia,1221,1859,938,132,0.0537586584687233
scene0086_02,8,PTv3_supervised,1129,1372,1015,151,0.07342968136072159
scene0086_02,16,Concerto decoder,925,903,777,131,0.13760100305080414
scene0086_02,16,Sonata linear,1016,7543,487,186,0.07202289253473282
scene0086_02,16,Utonia,1221,1859,929,319,0.11786985397338867
scene0086_02,16,PTv3_supervised,1129,1372,995,189,0.147340327501297
scene0685_01,4,Concerto decoder,1317,1919,1228,37,0.028236914426088333
scene0685_01,4,Sonata linear,629,5523,488,59,0.019339287653565407
scene0685_01,4,Utonia,1642,3967,1520,57,0.0324246883392334
scene0685_01,4,PTv3_supervised,1381,4030,1281,42,0.03521283343434334
scene0685_01,8,Concerto decoder,1317,1919,1235,92,0.05732915550470352
scene0685_01,8,Sonata linear,629,5523,449,120,0.03767884150147438
scene0685_01,8,Utonia,1642,3967,1487,70,0.05106415972113609
scene0685_01,8,PTv3_supervised,1381,4030,1278,87,0.0676041916012764
scene0685_01,16,Concerto decoder,1317,1919,1112,71,0.10102861374616623
scene0685_01,16,Sonata linear,629,5523,457,266,0.07817915081977844
scene0685_01,16,Utonia,1642,3967,1461,84,0.0944414809346199
scene0685_01,16,PTv3_supervised,1381,4030,1239,111,0.12150093168020248
scene0329_02,4,Concerto decoder,8432,6220,7805,402,0.055184826254844666
scene0329_02,4,Sonata linear,12839,9132,12012,370,0.06442702561616898
scene0329_02,4,Utonia,14544,7077,13768,327,0.07161539793014526
scene0329_02,4,PTv3_supervised,7897,4594,7521,330,0.056369174271821976
scene0329_02,8,Concerto decoder,8432,6220,7477,570,0.0835733637213707
scene0329_02,8,Sonata linear,12839,9132,11679,523,0.08406713604927063
