method,score_space,variant,keep,mIoU,delta_mIoU,focus_iou,delta_focus_iou,focus_to_confusion,source_csv
PTv3 S3DIS,retained,clean_voxel,1.0,0.7051768372437481,0.0,0.8264360843927818,0.0,0.06619907845091176,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_s3dis.csv
PTv3 S3DIS,full_nn,clean_voxel,1.0,0.7051768372437481,0.0,0.8264360843927818,0.0,0.06619907845091176,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_s3dis.csv
PTv3 S3DIS,retained,random_keep0p2,0.19998017895747633,0.4512928218824641,-0.253884015361284,0.3332629400460365,-0.4931731443467453,0.5528596554427752,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_s3dis.csv
PTv3 S3DIS,full_nn,random_keep0p2,0.19998017895747633,0.4444945466123149,-0.2606822906314332,0.3297243468864545,-0.4967117375063273,0.5450809549360792,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_s3dis.csv
PTv3 S3DIS,retained,classwise_keep0p2,0.19984100978164113,0.45356322815874495,-0.2516136090850032,0.3484628832132342,-0.4779732011795476,0.548709284171354,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_s3dis.csv
PTv3 S3DIS,full_nn,classwise_keep0p2,0.19984100978164113,0.4467550515497371,-0.25842178569401103,0.3434020976945708,-0.483033986698211,0.5429346483719584,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_s3dis.csv
PTv3 S3DIS,retained,structured_b64_keep0p2,0.20383565062109163,0.6373896125709978,-0.06778722467275033,0.7733119640329681,-0.05312412035981373,0.15869416866621172,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_s3dis.csv
PTv3 S3DIS,full_nn,structured_b64_keep0p2,0.20383565062109163,0.28813902460008173,-0.4170378126436664,0.2643500474177862,-0.5620860369749956,0.24231545596238854,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_s3dis.csv
PTv3 S3DIS,retained,feature_zero1p0,1.0,0.11375686696089257,-0.5914199702828555,0.0,-0.8264360843927818,0.9978707276149594,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_s3dis.csv
PTv3 S3DIS,full_nn,feature_zero1p0,1.0,0.11375686696089257,-0.5914199702828555,0.0,-0.8264360843927818,0.9978707276149594,tools/concerto_projection_shortcut/results_masking_fullscene_ptv3_s3dis.csv
