source,region_size,threshold,class_id,class_name,counterpart_id,counterpart_name,target_points,valid_points,proposals,target_proposals,mean_target_purity,mean_counterpart_contam,counterpart_majority_point_frac,counterpart_dominates_point_frac,base_pred_target_majority_frac,base_pred_counterpart_majority_frac,scene_count,scene_mean_best_proposal_cover,candidate_recall,candidate_point_frac,candidate_region_count,candidate_mean_size
pred_cc,8,0.8,11,counter,2,cabinet,221560,5035488,1589,413,0.7581325200881515,0.09875421165924982,0.050546127459830295,0.06974183065535296,0.7850649936811699,0.10115995667087922,47,0.648919832842768,0.7609631702473371,0.037663678277060735,140,1354.6785714285713
pred_cc,8,0.9,11,counter,2,cabinet,221560,5035488,1589,413,0.7581325200881515,0.09875421165924982,0.050546127459830295,0.06974183065535296,0.7850649936811699,0.10115995667087922,47,0.648919832842768,0.35362881386531864,0.016467917310099837,90,921.3777777777777
pred_cc,8,0.5,12,desk,6,table,655163,11338343,3231,778,0.8387189351481938,0.004698873585118014,0.005774135596790417,0.007866744611646262,0.8236896772253622,0.03111744710858214,84,0.7524082990080376,0.8927335640138409,0.055841581084643495,347,1824.64265129683
pred_cc,8,0.7,12,desk,6,table,655163,11338343,3231,778,0.8387189351481938,0.004698873585118014,0.005774135596790417,0.007866744611646262,0.8236896772253622,0.03111744710858214,84,0.7524082990080376,0.8868190053467611,0.055268834255587436,323,1940.1145510835913
pred_cc,8,0.8,12,desk,6,table,655163,11338343,3231,778,0.8387189351481938,0.004698873585118014,0.005774135596790417,0.007866744611646262,0.8236896772253622,0.03111744710858214,84,0.7524082990080376,0.8552909733913545,0.05283893775307379,306,1957.862745098039
pred_cc,8,0.9,12,desk,6,table,655163,11338343,3231,778,0.8387189351481938,0.004698873585118014,0.005774135596790417,0.007866744611646262,0.8236896772253622,0.03111744710858214,84,0.7524082990080376,0.6787089625024613,0.040968508361406954,272,1707.7757352941176
pred_cc,8,0.5,15,shower curtain,0,wall,158208,3028157,849,130,0.9151994603351482,0.04019231217805768,0.026635821197411005,0.04008646844660194,0.8610310477346278,0.06268962378640777,27,0.8884609932736618,0.9543891585760518,0.05236947754029926,65,2439.7384615384617
pred_cc,8,0.7,15,shower curtain,0,wall,158208,3028157,849,130,0.9151994603351482,0.04019231217805768,0.026635821197411005,0.04008646844660194,0.8610310477346278,0.06268962378640777,27,0.8884609932736618,0.9431760720064725,0.051476855394221636,62,2514.1935483870966
pred_cc,8,0.8,15,shower curtain,0,wall,158208,3028157,849,130,0.9151994603351482,0.04019231217805768,0.026635821197411005,0.04008646844660194,0.8610310477346278,0.06268962378640777,27,0.8884609932736618,0.9127414542880259,0.04934024226617048,60,2490.1666666666665
pred_cc,8,0.9,15,shower curtain,0,wall,158208,3028157,849,130,0.9151994603351482,0.04019231217805768,0.026635821197411005,0.04008646844660194,0.8610310477346278,0.06268962378640777,27,0.8884609932736618,0.86084142394822,0.04625783933924166,57,2457.4736842105262
pred_cc,8,0.5,17,sink,2,cabinet,102489,8406141,2530,257,0.7636496415259351,0.07444736202980029,0.03692103542819229,0.05257149547756344,0.8102820790523861,0.10182556176760432,80,0.8290581314782853,0.8602191454692699,0.012472905224882619,111,944.5855855855856
pred_cc,8,0.7,17,sink,2,cabinet,102489,8406141,2530,257,0.7636496415259351,0.07444736202980029,0.03692103542819229,0.05257149547756344,0.8102820790523861,0.10182556176760432,80,0.8290581314782853,0.7381670228024471,0.010073468908028071,87,973.3218390804598
pred_cc,8,0.8,17,sink,2,cabinet,102489,8406141,2530,257,0.7636496415259351,0.07444736202980029,0.03692103542819229,0.05257149547756344,0.8102820790523861,0.10182556176760432,80,0.8290581314782853,0.634604689283728,0.008344018973747883,68,1031.485294117647
