pair,positive_class,negative_class,feature,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
desk_vs_wall,desk,wall,linear_feat_pooled,balanced,0.6102529019117355,0.015478805041142123,0.5758029203861952,0.6306787125766278,0.6254138946533203,0.015039535380947369,0.5917014703154564,0.6483102217316628,0.739130437374115,0.4813753664493561,0.4864981770515442,836,12000,184,9074,1672,
desk_vs_wall,desk,wall,linear_feat_pooled,weighted,0.5709959715604782,0.017549323080916102,0.5300083003938199,0.5996168646961451,0.6466636657714844,0.01902621134358397,0.6061868295073509,0.6784540817141532,0.3695652186870575,0.7724267244338989,0.7644199728965759,836,12000,184,9074,12836,14.354066985645932
desk_vs_wall,desk,wall,linear_logits_pooled,unweighted,0.5331219956278801,0.008901243969722207,0.5198050227016211,0.5524219818413257,0.8982358574867249,0.010762820824396828,0.8831612423062325,0.9177794069051742,0.07065217196941376,0.9955918192863464,0.9772089123725891,836,12000,184,9074,12836,
desk_vs_wall,desk,wall,linear_logits_pooled,balanced,0.8105822205543518,0.015307041695035767,0.7814655773341656,0.84446374848485,0.890502393245697,0.010711699806824196,0.8734766244888306,0.9117530390620232,0.7663043737411499,0.8548600673675537,0.8531000018119812,836,12000,184,9074,1672,
desk_vs_wall,desk,wall,linear_logits_pooled,weighted,0.805756539106369,0.016425956671441446,0.770171956717968,0.8362878881394863,0.8928148746490479,0.010996518505531416,0.87305908203125,0.9144444927573204,0.739130437374115,0.872382640838623,0.8697342872619629,836,12000,184,9074,12836,14.354066985645932
desk_vs_table,desk,table,dino_exact,unweighted,0.8841246962547302,0.010839553754206704,0.8652492046356202,0.9028820998966693,0.9448628425598145,0.007739548786354698,0.9309662491083145,0.9572289630770683,0.9239130616188049,0.8443363308906555,0.8533579707145691,836,1994,184,1439,2830,
desk_vs_table,desk,table,dino_exact,balanced,0.8495029807090759,0.00984332698291071,0.8303719565272332,0.8666907496750355,0.9337893128395081,0.007040853516569313,0.9208291053771973,0.946842709183693,0.9130434989929199,0.7859624624252319,0.8003696799278259,836,1994,184,1439,1672,
desk_vs_table,desk,table,dino_exact,weighted,0.8855145573616028,0.011782056844631319,0.8661928363144398,0.9100032687187195,0.9442358613014221,0.007716019415391272,0.9278021857142449,0.9600770816206932,0.9239130616188049,0.8471160531044006,0.8558225631713867,836,1994,184,1439,2830,2.3851674641148324
desk_vs_table,desk,table,encoder_pooled,unweighted,0.8602384626865387,0.011413935062616478,0.8371426984667778,0.8820026077330112,0.9352849125862122,0.010151952326219302,0.9143802508711815,0.9570785239338875,0.885869562625885,0.8346073627471924,0.8404189944267273,836,1994,184,1439,2830,
desk_vs_table,desk,table,encoder_pooled,balanced,0.8691837787628174,0.011770063190324052,0.847727757692337,0.8891983702778816,0.9445871114730835,0.008886529022613814,0.9261950895190239,0.9603940635919571,0.9239130616188049,0.8144544959068298,0.8268638253211975,836,1994,184,1439,1672,
desk_vs_table,desk,table,encoder_pooled,weighted,0.8646308481693268,0.01260314088540021,0.8398171909153461,0.8861798733472824,0.9347561597824097,0.010567758591065827,0.9124339014291764,0.9529205664992333,0.89673912525177,0.8325225710868835,0.8398028612136841,836,1994,184,1439,2830,2.3851674641148324
desk_vs_table,desk,table,patch_proj,unweighted,0.9169826507568359,0.00821369497665942,0.900265409052372,0.9309794008731842,0.9710850119590759,0.004372406740139237,0.9624407202005386,0.9782250881195068,0.967391312122345,0.8665739893913269,0.878003716468811,836,1994,184,1439,2830,
desk_vs_table,desk,table,patch_proj,balanced,0.8827707171440125,0.01047764041794332,0.8644700534641743,0.9027648352086544,0.9562233686447144,0.005544444362044922,0.9455585986375808,0.9660615772008896,0.9510869383811951,0.8144544959068298,0.8299445509910583,836,1994,184,1439,1672,
desk_vs_table,desk,table,patch_proj,weighted,0.9111380875110626,0.009785595825276218,0.8881149463355541,0.9308163695037365,0.9702012538909912,0.004364842193358134,0.9611560449004173,0.9788944467902183,0.9619565010070801,0.8603196740150452,0.8718422651290894,836,1994,184,1439,2830,2.3851674641148324
desk_vs_table,desk,table,linear_feat_pooled,unweighted,0.8450747132301331,0.013485227021539979,0.8206709787249565,0.875174393504858,0.9247024059295654,0.0111755109848879,0.9037133321166039,0.9472847908735276,0.875,0.8151494264602661,0.821934700012207,836,1994,184,1439,2830,
desk_vs_table,desk,table,linear_feat_pooled,balanced,0.8609069585800171,0.011546097380615346,0.8375127471983432,0.8807921141386033,0.9287586212158203,0.009084370584350382,0.9091274097561837,0.9424373790621757,0.91847825050354,0.8033356666564941,0.8163893818855286,836,1994,184,1439,1672,
desk_vs_table,desk,table,linear_feat_pooled,weighted,0.8426424562931061,0.01343022358008499,0.818234034627676,0.8682823039591312,0.9173603057861328,0.011885739375203614,0.8955943912267685,0.9381630226969718,0.875,0.8102849125862122,0.8176217079162598,836,1994,184,1439,2830,2.3851674641148324
