variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,wall_iou,counter_iou,cabinet_iou,door_iou,picture_to_wall
maxmargin::Concerto decoder+PTv3_supervised,0.7889635705994713,0.8665022326846824,0.9251203155849324,0.6896064603557998,0.3965300437723835,0.8802119534414792,0.7083325085415435,0.7362256273450204,0.761144223427681,0.5104944996673769
maxmargin::Concerto decoder+Sonata linear,0.7777239838099167,0.870675872278083,0.9204714833627797,0.6772682703585017,0.40060506174790583,0.8761220721540521,0.6958308439419701,0.7242239967819083,0.7472928697327539,0.46451056198841123
maxmargin::Concerto decoder+Utonia,0.7847930735954691,0.8769428015663628,0.9228865461978903,0.6882087901354469,0.41428800005953625,0.8773082788758726,0.6985041829629098,0.7370145125232087,0.7761294477850424,0.4470261567088632
maxmargin::Concerto fullFT+PTv3_supervised,0.8004578969301868,0.8758044650029759,0.9296492795334274,0.7061828131560386,0.43164844558419924,0.8867210569804044,0.7196814027671772,0.7756620961982884,0.7748015168358984,0.4373318807184659
maxmargin::Sonata linear+Concerto fullFT,0.7980458665759308,0.8781271561632389,0.9287893549615348,0.7038119383748696,0.43871432436582725,0.8872899398552466,0.7081116148315194,0.7799487778767921,0.7751328986878413,0.4106738269010133
maxmargin::Sonata linear+PTv3_supervised,0.7669648955817864,0.8488193992756925,0.9167124522038845,0.6635638828105789,0.39272950940928225,0.8704090799612526,0.7025967855305678,0.7087481754378794,0.7239921122294906,0.5019330704486074
maxmargin::Sonata linear+Utonia,0.7558979736335417,0.856489225146084,0.9113989795283048,0.6578809499101083,0.3837413553315931,0.8640544453202159,0.6730350265777032,0.7002545422627929,0.7333854657639901,0.4940031430472132
maxmargin::Utonia+Concerto fullFT,0.8024425354029752,0.8825415233148857,0.9302840713653506,0.7074992275796671,0.43672483651097305,0.8874733660433111,0.7193153417558983,0.7837617138150281,0.7846071478435429,0.41026407381340324
maxmargin::Utonia+PTv3_supervised,0.7823027314981805,0.8604199745395699,0.9228225012565127,0.6772849847529105,0.3947053840734025,0.8760870107857894,0.7005889851333085,0.7272096789034181,0.7550076604901297,0.5108753290076262
oracle::Concerto decoder+Concerto fullFT,0.8491831776513941,0.9158945509612574,0.9499023356448782,0.7741420541179481,0.5382145176362512,0.9204971587923291,0.7832441765707321,0.831709189876051,0.8405336821598801,0.3327821752586265
oracle::Concerto decoder+PTv3_supervised,0.848503179430929,0.9125495512742848,0.9506091710683862,0.7737913150726994,0.5403003791071671,0.9257574926730369,0.7786306106867142,0.824529884373434,0.8472032262926077,0.35141870980804274
oracle::Concerto decoder+Sonata linear,0.8331477474033134,0.907781612834723,0.9438336733363518,0.7536839412442472,0.5242192246931582,0.9127547952270672,0.7613316169349533,0.8015808286568342,0.8189875018557518,0.3515729697939665
oracle::Concerto decoder+Sonata linear+Utonia+Concerto fullFT+PTv3_supervised,0.896948344547188,0.9418230708875308,0.9684426215573266,0.8399165010392636,0.6396853690475667,0.9514733951404895,0.8439816946930373,0.8988803501866083,0.9023355651622856,0.28725137628831193
oracle::Concerto decoder+Utonia,0.8301402814187681,0.9057240223921985,0.9425903152120336,0.7484455505571435,0.5008035395818387,0.9096384712202331,0.7638183858085469,0.7898202635034557,0.8255673740615245,0.37736331119059785
oracle::Concerto fullFT+PTv3_supervised,0.8428769309876074,0.9033769136389045,0.9478328590904826,0.7627963838022219,0.5172797183359583,0.9180740248640539,0.7548700779851698,0.83444688118208,0.8445963322773228,0.3705421274380309
oracle::Sonata linear+Concerto fullFT,0.8480280417672755,0.9096041418921355,0.9496100365390604,0.7697743572120227,0.5102600658374247,0.9214229533334342,0.7711286383922303,0.8359679934973596,0.8350191376102019,0.3597150046760058
oracle::Sonata linear+PTv3_supervised,0.8274466314556891,0.8918467666007223,0.943177784019388,0.7468601490935585,0.4808954749579774,0.9169837566815138,0.7671708375594516,0.8032692479795799,0.8106273167724445,0.40796463589822696
